Season,Week,Running_Order,Celebrity,Ballroom_Partner,Couple,Dance_Style,Weekly_Bottom_Two_Status
23,4,2,Maureen & Artem,,Maureen & Artem,Argentine tango,Safe
23,4,3,Jana & Gleb,,Jana & Gleb,Foxtrot,Safe
23,4,4,Marilu & Derek,,Marilu & Derek,Paso doble,Safe
23,4,5,Amber & Maks,,Amber & Maks,Argentine tango,Safe
23,4,6,Ryan & Cheryl,,Ryan & Cheryl,Viennese waltz,Safe
23,4,7,Babyface & Allison,,Babyface & Allison,Tango,Eliminated
23,4,8,Terra & Sasha,,Terra & Sasha,Samba,Safe
23,4,9,Laurie & Val,,Laurie & Val,Jazz,Safe
23,4,10,Vanilla Ice & Witney,,Vanilla Ice & Witney,Viennese waltz,Eliminated
23,4,11,James & Sharna,,James & Sharna,Quickstep,Safe
23,5,1,Maureen & Artem,,Maureen & Artem,Foxtrot,
23,5,2,Calvin & Lindsay,,Calvin & Lindsay,Jazz,
23,5,3,Jana & Gleb,,Jana & Gleb,Contemporary,
23,5,4,Ryan & Cheryl,,Ryan & Cheryl,Contemporary,
23,5,5,Laurie & Val,,Laurie & Val,Paso doble,
23,5,6,Marilu & Derek,,Marilu & Derek,Viennese waltz,
23,5,7,Amber & Maks,,Amber & Maks,Samba,
23,5,8,James & Sharna,,James & Sharna,Tango,
23,5,9,Terra & Sasha,,Terra & Sasha,Contemporary,
23,6,1,Ryan & Cheryl,,Ryan & Cheryl,Salsa,Safe
23,6,2,Terra & Sasha,,Terra & Sasha,Paso doble,Safe
23,6,3,Amber & Maks,,Amber & Maks,Cha-cha-cha,Eliminated
23,6,4,James & Sharna,,James & Sharna,Rumba,Safe
23,6,5,Marilu & Derek,,Marilu & Derek,Cha-cha-cha,Safe
23,6,6,Jana & Gleb,,Jana & Gleb,Argentine tango,Safe
23,6,7,Maureen & Artem,,Maureen & Artem,Samba,Safe
23,6,8,Calvin & Lindsay,,Calvin & Lindsay,Argentine tango,Safe
23,6,9,Laurie & Val,,Laurie & Val,Salsa,Safe
23,7,1,Laurie & Val,,Laurie & Val,Quickstep,Safe
23,7,2,Ryan & Cheryl,,Ryan & Cheryl,Rumba,Safe
23,7,3,Marilu & Derek,,Marilu & Derek,Charleston,Safe
23,7,4,Calvin & Lindsay,,Calvin & Lindsay,Jive,Safe
23,7,5,Maureen & Artem,,Maureen & Artem,Tango,Eliminated
23,7,6,Terra & Sasha,,Terra & Sasha,Foxtrot,Safe
23,7,7,Jana & Gleb,,Jana & Gleb,Samba,Safe
23,7,8,James & Sharna,,James & Sharna,Jitterbug,Safe
23,7,9,Calvin & Lindsay,James & Sharna,Calvin & Lindsay / James & Sharna / Maureen & Artem / Ryan & Cheryl,Freestyle (Team Past),Safe
23,7,10,Jana & Gleb,Laurie & Val,Jana & Gleb / Laurie & Val / Marilu & Derek / Terra & Sasha,Freestyle (Team Future),Safe
23,8,1,Terra & Sasha,,Terra & Sasha,Cha-cha-cha,Safe
23,8,2,Laurie & Val,,Laurie & Val,Viennese waltz,Safe
23,8,3,Marilu & Derek,,Marilu & Derek,Argentine tango,Safe
23,8,4,Calvin & Lindsay,,Calvin & Lindsay,Quickstep,Safe
23,8,5,Ryan & Cheryl,,Ryan & Cheryl,Tango,Eliminated
23,8,6,Jana & Gleb,,Jana & Gleb,Jazz,Safe
23,8,7,James & Jenna,,James & Jenna,Viennese waltz,Immunity
23,8,1,Laurie & Val,[,Laurie & Val / [ / a / ],Jive,Winners
23,8,2,Calvin & Lindsay,,Calvin & Lindsay,Losers,Winners
23,8,3,Jana & Gleb,[,Jana & Gleb / [ / b / ],Salsa,Winners
23,8,4,Terra & Sasha,[,Terra & Sasha / [ / c / ],Losers,Winners
23,8,5,Ryan & Cheryl,[,Ryan & Cheryl / [ / d / ],Cha-cha-cha,Winners
23,8,6,Marilu & Derek,[,Marilu & Derek / [ / e / ],Losers,Winners
23,9,1,Marilu & Derek,,Marilu & Derek,Samba,Eliminated
23,9,2,Calvin & Lindsay,,Calvin & Lindsay,Waltz,Safe
23,9,3,James & Jenna,,James & Jenna,Jazz,Safe
