celebrity_name,wikipedia_title,instagram_handle,twitter_handle,tiktok_handle,youtube_url,instagram_followers,twitter_followers,tiktok_followers,youtube_subscribers,facebook_url
Laurie Hernandez,Laurie Hernandez,,,,,,,,,
Lawrence Taylor,Lawrence Taylor,,,,,,,,,
Lea Thompson,Lea Thompson,,,,,,,,,
Leah Remini,Leah Remini,,,,https://www.youtube.com/@leahremini,,,,,
Leeza Gibbons,Leeza Gibbons,,,,,,,,,
Lele Pons,Lele Pons,,,,https://www.youtube.com/@LelePons,,,,,
Lil' Kim,Lil' Kim,,,,,,,,,
Lindsey Stirling,Lindsey Stirling,,,,https://www.youtube.com/@lindseystirling,,,,,
Lisa Rinna,Lisa Rinna,,,,,,,,,
Lisa Vanderpump,Lisa Vanderpump,,,,,,,,,
Lolo Jones,Lolo Jones,,,,,,,,,
Louie Vito,Louie Vito,,,,,,,,,
Macy Gray,Macy Gray,,,,,,,,,
Margaret Cho,Margaret Cho,,,,,,,,,
Maria Menounos,Maria Menounos,,,,,,,,,
Marie Osmond,Marie Osmond,,,,,,,,,
Marilu Henner,Marilu Henner,TheRealMarilu,,,,,,,,
Mario,Mario,,,,,,,,,
Mario Lopez,Mario Lopez,,,,,,,,,
Marissa Jaret Winokur,Marissa Jaret Winokur,,,,,,,,,
Mark Cuban,Mark Cuban,,,,,,,,,
Mark Dacascos,Mark Dacascos,,,,,,,,,
Marla Maples,Marla Maples,,,,,,,,,
Marlee Matlin,Marlee Matlin,,,,,,,,,
Martin Kove,Martin Kove,,,,,,,,,
Martina Navratilova,Martina Navratilova,,,,,,,,,
Mary Lou Retton,Mary Lou Retton,,,,,,,,,
Mary Wilson,Mary Wilson,,,,,,,,,
Master P,Master P,,,,,,,,,
Matt James,Matt James,,,,,,,,,
Matt Walsh,Matt Walsh (political commentator),,,,https://www.youtube.com/@MattWalsh,,,,,
Maureen McCormick,Maureen McCormick,,,,,,,,,
Maurice Greene,Maurice Greene (fighter),,,,,,,,,
Mauricio Umansky,Mauricio Umansky,,,,,,,,,
Mel B,Mel B,,,,,,,,,
Melanie C,Melanie C,,,,,,,,,
Melissa Gilbert,Melissa Gilbert,,,,,,,,,
Melissa Joan Hart,Melissa Joan Hart,,,,,,,,,
Melissa Rycroft,Melissa Rycroft,,,,,,,,,
Melora Hardin,Melora Hardin,,,,,,,,,
Meryl Davis,Meryl Davis,,,,,,,,,
Metta World Peace (Ron),Metta Sandiford-Artest,,,,,,,,,
Michael Bolton,Michael Bolton,,,,,,,,,
